value,count
"",33486
"""SD""",1540
"""m"",""c"",""fp"",""kd""",691
"""V""",690
"""s"",""v"",""mp""",685
"""v""",646
"""S"",""MP"",""V""",471
"""S""",427
"""v"",""mp""",383
"""mp""",379
"""m""",365
"""s""",330
"""kd""",307
"""C""",291
"""MP""",265
"""fp""",261
"""M""",248
"""M"",""C"",""L"",""KD""",242
"""MP"",""V""",212
"""c""",203
"""s"",""v""",176
"""S"",""V""",150
"""KD""",129
"""m"",""fp"",""kd""",111
"""L""",101
"""m"",""fp""",88
"""S"",""MP""",81
"""c"",""kd""",76
"""m"",""c"",""fp"",""kd"",""mp""",74
"""S"",""V"",""MP""",65
"""V"",""MP""",64
"""m"",""kd""",62
"""c"",""fp"",""kd""",58
"""s"",""mp""",58
"""m"",""c"",""fp""",53
"""c"",""fp""",51
"""m"",""c"",""kd""",46
"""M"",""SD""",40
"""fp"",""kd""",39
"""S"",""V"",""C"",""MP""",34
"""m"",""c""",34
"""M"",""KD""",32
"""S"",""SD""",32
"""M"",""SD"",""KD""",29
"""M"",""C"",""KD""",26
"""SD"",""KD""",26
"""c"",""mp""",26
"""c"",""v""",25
"""M"",""C""",24
"""c"",""v"",""mp""",24
"""MP"",""SD"",""V""",23
"""M"",""FP"",""C"",""KD""",22
"""c"",""fp"",""kd"",""mp""",22
"""SD"",""V""",21
"""M"",""C"",""FP"",""KD""",20
"""SD"",""-""",20
"""c"",""fp"",""v"",""mp""",20
"""S"",""C"",""V"",""MP""",18
"""S"",""SD"",""V""",18
"""c"",""fp"",""kd"",""v"",""mp""",18
"""c"",""kd"",""mp""",17
"""C"",""MP""",16
"""FP""",16
"""c"",""kd"",""v"",""mp""",16
"""fp"",""v"",""mp""",16
"""S"",""C""",15
"""C"",""KD""",14
"""V"",""C"",""MP""",14
"""fp"",""mp""",14
"""C"",""L""",13
"""SD"",""C""",13
"""fp"",""v""",13
"""kd"",""v""",13
"""M"",""SD"",""C""",12
"""M"",""C"",""V"",""L"",""KD""",11
"""M"",""KD"",""L""",11
"""M"",""L""",11
SD,11
"""C"",""V""",10
"""kd"",""mp""",10
"""C"",""KD"",""M"",""FP""",8
"""M"",""C"",""KD"",""L""",8
"""M"",""C"",""L""",8
"""c"",""fp"",""mp""",8
"""fp"",""kd"",""v"",""mp""",8
"""FP"",""M"",""KD"",""C""",7
"""M"",""SD"",""C"",""KD""",7
V,7
"""KD"",""M"",""C"",""FP""",6
"""M"",""C"",""KD"",""FP""",6
"""M"",""SD"",""L""",6
"""S"",""C"",""MP""",6
"""SD"",""L""",6
"""V"",""C""",6
"""V"",""MP"",""S""",6
"""c"",""kd"",""v""",6
"""kd"",""v"",""mp""",6
"M, KD",6
"""C"",""L"",""KD""",5
"""KD"",""FP"",""C"",""M""",5
"""MP"",""S"",""V""",5
"""S"",""V"",""L"",""MP""",5
"""c"",""fp"",""v""",5
"""m"",""c"",""fp"",""kd"",""v""",5
C,5
"S, V, MP",5
"""FP"",""KD"",""C"",""M""",4
"""KD"",""M"",""FP"",""C""",4
"""L"",""KD""",4
"""M"",""KD"",""FP"",""C""",4
"""M"",""L"",""KD""",4
"""M"",""SD"",""KD"",""L""",4
"""MP"",""SD""",4
"""MP"",""V"",""S""",4
"""S"",""V"",""C""",4
"""SD"",""C"",""KD""",4
"""V"",""SD""",4
"""m"",""-""",4
M,4
"M, C, KD",4
"""C"",""FP"",""M"",""KD""",3
