value,count
"",212789
sv,24510
en,412
sgn,171
tt,22
bs,16
kmr,16
rmf,16
rmn,16
rmu,16
rom-KR-SE,16
rom-LO-SE,16
sdh,16
ti,16
fit,15
tr,15
pl,13
yi,12
fi,6
is,6
es-ES,4
so,3
fr,2
