value,count
statustext,88032
tilldelat,81149
motkat,77377
notis,6702
notisrubrik,6701
rdbeslut,6677
utsknotisrubrik,6672
utsknotis,6671
beslutssammanfattningusk,6260
motgrund,5746
inlamnatav,3776
beslutdatumtid,1448
debattdatumtid,1445
arendestatuskammaren,563
granskningstext,16
tomt,1
