value,count
"",117316
Frips,44317
Filur,42321
webbnav,17095
notes,15955
RIM,15350
Q,9937
RIM-vot,8313
frodeVotDok,7304
RKFTP,6331
UtskottensKallelser,6175
webbkonvert,5487
ardome,4588
cms2023,3538
MHS,3474
prop-RIM,2838
Safir,1871
CMS,1860
Lemur,1398
EUNSYS,786
vpn,607
eunsamdok,595
distdb,586
Brus,488
forsete,349
cms2012,321
rfs,250
rir,76
RIM-Web,34
rk,29
temp,17
sok,11
skarven,8
manuellt,6
cms,5
1,1
data,1
öd,1
