value,count
UFöU4,21
BoU6,20
LU20,20
UFöU5,20
UbU21,20
BoU7,19
FIU6,19
FIU7,19
FiU9,19
KrU12,19
LU3,19
NU25,19
SFU7,19
SFU9,19
SKU18,19
SfU28,19
UbU20,19
BoU5,18
JUU20,18
KU32,18
KU46,18
LU15,18
LU5,18
SOU21,18
SkU6,18
UMJU1,18
CU33,17
FIU8,17
FiU30,17
FiU35,17
FiU4,17
JUU12,17
JUU2,17
KU37,17
SFU13,17
SFU17,17
SKU17,17
SkU3,17
SkU5,17
SkU8,17
FIU18,16
FiU39,16
JUU29,16
SKU1,16
SKU16,16
SOU14,16
SkU4,16
SoU25,16
AU12,15
BoU10,15
CU22,15
CU30,15
FIU22,15
FiU15,15
FiU24,15
FöU13,15
JUU28,15
KrU29,15
MJU26,15
SKU6,15
SkU7,15
BoU4,14
CU24,14
CU26,14
FIU13,14
FIU20,14
JUU4,14
JuU36,14
KRU21,14
KU42,14
KUU2,14
NU23,14
SFU6,14
SKU24,14
SKU5,14
TU22,14
TU24,14
BOU11,13
BoU11,13
FiU31,13
FÖU4,13
JUU5,13
JuU41,13
LU26,13
NU26,13
SkU2,13
TU21,13
UbU25,13
FIU27,12
FIU5,12
FiU40,12
FÖU7,12
JUU26,12
SKU2,12
SOU19,12
SkU28,12
SkU32,12
BOU14,11
CU32,11
FIU17,11
FIU28,11
FIU9,11
FiU37,11
KRU10,11
KRU20,11
KrU26,11
LU21,11
LU6,11
SFU11,11
SFU18,11
SKU28,11
SKU3,11
SOU17,11
BoU12,10
CU23,10
FIU24,10
FÖU6,10
FöU14,10
KRU17,10
KRU18,10
LU24,10
NU24,10
SkU31,10
CU25,9
FiU38,9
JUU21,9
JUU23,9
JUU24,9
JUU3,9
KrU24,9
KrU31,9
SKU13,9
FIU25,8
FIU4,8
FiU36,8
JUU27,8
KRU12,8
LU25,8
LU4,8
SkU33,8
SkU34,8
SoU27,8
SoU28,8
CU27,7
FIU16,7
FiU41,7
JuU38,7
KU36,7
LU29,7
SKU4,7
SOU18,7
UbU27,7
AU15,6
BoU9,6
CU29,6
JuU44,6
KU41,6
KrU22,6
MJU31,6
SKU32,6
SOU20,6
SfU21,6
UU24,6
UU25,6
UbU29,6
BoU3,5
CU28,5
CU35,5
FÖU11,5
FÖU12,5
JUU25,5
JUU32,5
JUU33,5
JuU39,5
JuU40,5
JuU45,5
LU1,5
SFU16,5
SKU26,5
SOU22,5
SkU35,5
TU23,5
UU22,5
UbU33,5
BOU12,4
FiU47,4
FÖU8,4
FöU15,4
JUU22,4
JuU37,4
KU10,4
KrU25,4
LU32,4
NU28,4
SOU24,4
SfU23,4
SfU24,4
SkU36,4
SkU37,4
SoU29,4
UbU26,4
CU36,3
FIU29,3
FiU10,3
FiU42,3
FiU43,3
FöU17,3
JUU31,3
JUU35,3
JuU35,3
KU44,3
LU30,3
LU31,3
LU34,3
LU35,3
MJU30,3
NU27,3
SFU14,3
SKU27,3
SKU29,3
SKU31,3
SKU35,3
SfU26,3
SoU32,3
UFÖU2,3
UU21,3
UU23,3
UbU24,3
AU17,2
CU38,2
FiU46,2
FÖU9,2
KU45,2
KU47,2
KrU15,2
SKU30,2
SKU33,2
SKU34,2
SfU25,2
SfU27,2
SkU38,2
UFÖU1,2
USOU1,2
AU16,1
BOU15,1
BoU13,1
BoU2,1
CU37,1
FIU30,1
FIU31,1
FIU32,1
FIU33,1
FiU44,1
FiU45,1
FiU48,1
FiU49,1
FiU50,1
FiU51,1
FiU62,1
FiU63,1
FÖU13,1
JUU30,1
JUU34,1
JuU42,1
KRU22,1
KRU23,1
KU43,1
KUU3,1
KrU16,1
KrU17,1
KrU18,1
KrU19,1
KrU20,1
KrU21,1
KrU23,1
KrU27,1
KrU30,1
LU36,1
LU37,1
LU38,1
LU39,1
NU29,1
NU30,1
SFU19,1
SKU36,1
SKU37,1
SkU39,1
SkU40,1
SkU41,1
SkU42,1
SkU43,1
SkU44,1
SkU45,1
SkU46,1
SkU47,1
SkU48,1
SoU33,1
TU25,1
TU26,1
UFÖU3,1
UbU34,1
