value,count
"KU,KrU,TU",1
KrUNU,1
Kru,1
"Kultur-dep, Utbildnings-dep",1
"MJU, NU",1
"Miljödepartementet, Utrikesdepartementet",1
NATO,1
NSÖ,1
"NU,SoU,UbU",1
"NU,UU",1
"Närings-dep, Utrikes-dep",1
Näringsdepartementet RS L,1
Rådet,1
So,1
"Statsrådsberedningen, Utrikesdepartementet",1
USOU,1
UbKrU,1
UföU,1
Ulf Nilsson (fp),1
f,1
fI-dep,1
ij-dep,1
mju,1
n N -dep,1
s-dep,1
"sku,uu",1
u-dep,1
