snapshot_pk,type,version,state,changed_properties,managed_type,global_id_fk,commit_fk
172400,INITIAL,1,"{
  ""annualWorkHeadCount"": 6324,
  ""year"": 2005,
  ""headCount"": 6617,
  ""name"": ""Banverket"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1182,
  ""comment"": """",
  ""mCode"": ""BV"",
  ""governmentBodyId"": ""BV"",
  ""id"": 1530,
  ""orgNumber"": ""202100-4003"",
  ""ministry"": ""Näringsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1823,1821
155600,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2004,
  ""headCount"": 0,
  ""name"": ""Livsmedelsverket"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1134,
  ""comment"": """",
  ""mCode"": ""SLV"",
  ""governmentBodyId"": ""SLV"",
  ""id"": 1362,
  ""orgNumber"": ""202100-1850"",
  ""ministry"": ""Landsbygdsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1655,1653
501100,INITIAL,1,"{
  ""annualWorkHeadCount"": 251,
  ""year"": 2019,
  ""headCount"": 279,
  ""name"": ""Boverket"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1183,
  ""comment"": """",
  ""mCode"": ""BOV"",
  ""governmentBodyId"": ""BOV"",
  ""id"": 4817,
  ""orgNumber"": ""202100-3989"",
  ""ministry"": ""Finansdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,5110,5108
328200,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2011,
  ""headCount"": 0,
  ""name"": ""Kärnavfallsfonden"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1240,
  ""comment"": ""Namnbyte 2008-01-01 från Kärnavfallsfondens styrelse till Kärnavfallsfonden"",
  ""mCode"": ""KAFS"",
  ""governmentBodyId"": ""KAFS"",
  ""id"": 3088,
  ""orgNumber"": ""202100-4904"",
  ""ministry"": ""Miljödepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,3381,3379
50800,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2000,
  ""headCount"": 0,
  ""name"": ""Handelsflottans kultur- och fritidsråd"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1090,
  ""comment"": """",
  ""mCode"": ""HKF"",
  ""governmentBodyId"": ""HKF"",
  ""id"": 314,
  ""orgNumber"": ""202100-0670"",
  ""ministry"": ""Näringsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,607,605
71000,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2000,
  ""headCount"": 0,
  ""name"": ""Åsbackaskolan, Gnesta"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1105,
  ""comment"": ""Delar av Åsbackaskolan överg 2000-07-01 till Specialskolemyndigheten (SPM)"",
  ""mCode"": ""SASB"",
  ""governmentBodyId"": ""SASB"",
  ""id"": 516,
  ""orgNumber"": ""202200-1453"",
  ""ministry"": ""Utbildningsdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,809,807
472400,INITIAL,1,"{
  ""annualWorkHeadCount"": 68,
  ""year"": 2017,
  ""headCount"": 71,
  ""name"": ""Statens beredning för medicinsk och social utvärdering"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1202,
  ""comment"": ""Namnbyte från Statens beredning för medicinsk utvärdering till Statens beredning för medicinsk och social utvärdering fr.o.m. 2015-07-01."",
  ""mCode"": ""SBU"",
  ""governmentBodyId"": ""SBU"",
  ""id"": 4530,
  ""orgNumber"": ""202100-4417"",
  ""ministry"": ""Socialdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,4823,4821
148300,INITIAL,1,"{
  ""annualWorkHeadCount"": 0,
  ""year"": 2004,
  ""headCount"": 0,
  ""name"": ""Domstolsväsendet"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1143,
  ""comment"": ""Gemensam årsredovisning för de allmänna domstolarna,\nförvaltningsdomstolarna, Domstolsverket, Rättshjälpsmyndigheten och Hyres-\noch arrendenämnderna."",
  ""mCode"": ""DOM"",
  ""governmentBodyId"": ""DOM"",
  ""id"": 1289,
  ""orgNumber"": ""202100-2742"",
  ""ministry"": ""Justitiedepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,1582,1580
268400,INITIAL,1,"{
  ""annualWorkHeadCount"": 787,
  ""year"": 2008,
  ""headCount"": 813,
  ""name"": ""Styrelsen för internationellt utvecklingssamarbete"",
  ""vat"": ""Rätt till kompensation"",
  ""consecutiveNumber"": 1112,
  ""comment"": """",
  ""mCode"": ""SIDA"",
  ""governmentBodyId"": ""SIDA"",
  ""id"": 2490,
  ""orgNumber"": ""202100-4789"",
  ""ministry"": ""Utrikesdepartementet""
}","[
  ""annualWorkHeadCount"",
  ""year"",
  ""headCount"",
  ""name"",
  ""vat"",
  ""consecutiveNumber"",
  ""comment"",
  ""mCode"",
  ""governmentBodyId"",
  ""id"",
  ""orgNumber"",
  ""ministry""
]",com.hack23.cia.model.internal.application.data.ministry.impl.GovernmentBodyData,2783,2781
14300,INITIAL,1,"{
  ""createdDate"": ""2026-01-27T01:00:10.456"",
  ""languageEnabled"": false,
  ""languageCode"": ""oc"",
  ""languageName"": ""Occitan"",
  ""hjid"": 143
}","[
  ""createdDate"",
  ""languageEnabled"",
  ""languageCode"",
  ""languageName"",
  ""hjid""
]",com.hack23.cia.model.internal.application.system.impl.LanguageData,242,240
